"Deutsch","Türkisch","Fach","Richtig","Falsch","Erstellt am","Zuletzt gelernt","Nächste Wiederholung"
"hinausgehen","çıkmak","1","0","0","2026-04-05","","2026-04-05"
"hinlegen / stellen / legen","koymak","1","0","0","2026-04-06","","2026-04-06"
"hungrig","aç","1","0","0","2026-04-06","","2026-04-06"
"hässlich","çirkin","1","0","0","2026-04-06","","2026-04-06"
"hören","duymak","1","0","2","2026-04-05","2026-04-05","2026-04-05"
"ich","ben","1","0","0","2026-04-06","","2026-04-06"
"ihr / Sie","siz","1","0","0","2026-04-06","","2026-04-06"
"in der Nacht","gece","1","0","0","2026-04-06","","2026-04-06"
"ja","evet","1","0","0","2026-04-06","","2026-04-06"
"Jahr","yıl","1","0","0","2026-04-06","","2026-04-06"
"Januar","Ocak","1","0","0","2026-04-06","","2026-04-06"
"jeder / alle","her","1","0","0","2026-04-06","","2026-04-06"
"jetzt","şimdi","1","0","0","2026-04-06","","2026-04-06"
"Joggen, rennen","koşmak","1","0","0","2026-04-05","","2026-04-05"
"Juli","Temmuz","1","0","0","2026-04-06","","2026-04-06"
"jung","genç","1","0","0","2026-04-06","","2026-04-06"
"Juni","Haziran","1","0","0","2026-04-06","","2026-04-06"
"Kaffee","kahve","1","0","0","2026-04-06","","2026-04-06"
"kalt","soğuk","1","0","0","2026-04-06","","2026-04-06"
"kaputt / defekt","bozuk","1","0","0","2026-04-06","","2026-04-06"
"Karotte","havuç","1","0","0","2026-04-06","","2026-04-06"
"kaufen","satın almak","1","0","0","2026-04-06","","2026-04-06"
"kennenlernen","tanışmak","1","0","0","2026-04-05","","2026-04-05"
"Kind","çocuk","1","0","0","2026-04-06","","2026-04-06"
"Kirsche","kiraz","1","0","0","2026-04-06","","2026-04-06"
"klein","küçük","1","0","0","2026-04-05","","2026-04-05"
"kommen","gelmek","1","0","0","2026-04-06","","2026-04-06"
"krank","hasta","1","0","0","2026-04-06","","2026-04-06"
"Krankenhaus","hastane","1","0","0","2026-04-06","","2026-04-06"
"Kuh","inek","1","0","0","2026-04-06","","2026-04-06"
"Käse","peynir","1","0","0","2026-04-06","","2026-04-06"
"Küche","mutfak","1","0","0","2026-04-06","","2026-04-06"
"Land","ülke","1","0","0","2026-04-06","","2026-04-06"
"langsam","yavaş","1","0","0","2026-04-06","","2026-04-06"
"Lehrer","öğretmen","1","0","0","2026-04-06","","2026-04-06"
"leicht","kolay","1","0","0","2026-04-06","","2026-04-06"
"leider","maalesef","1","0","0","2026-04-06","","2026-04-06"
"lesen","okumak","1","0","0","2026-04-06","","2026-04-06"
"lieben","sevmek","1","0","0","2026-04-06","","2026-04-06"
"lila","mor","1","0","0","2026-04-06","","2026-04-06"
"Löffel","kaşık","1","0","0","2026-04-06","","2026-04-06"
"machen","yapmak / etmek","2","1","0","2026-04-05","","2026-04-05"
"Mai","Mayıs","1","0","0","2026-04-06","","2026-04-06"
"Mann","adam","1","0","0","2026-04-06","","2026-04-06"
"Mann","erkek","1","0","0","2026-04-06","","2026-04-06"
"Mensch","insan","1","0","0","2026-04-06","","2026-04-06"
"Messer","bıçak","1","0","0","2026-04-06","","2026-04-06"
"Milch","süt","1","0","0","2026-04-06","","2026-04-06"
"Minute","dakika","1","0","0","2026-04-06","","2026-04-06"
"Mittag","öğlen","1","0","0","2026-04-06","","2026-04-06"
"Mittagessen","öğle yemeği","1","0","0","2026-04-06","","2026-04-06"
"Mittwoch","Çarşamba","1","0","0","2026-04-06","","2026-04-06"
"Monat","ay","1","0","0","2026-04-06","","2026-04-06"
"Montag","Pazartesi","1","0","0","2026-04-06","","2026-04-06"
"Morgen","sabah","1","0","0","2026-04-06","","2026-04-06"
"morgen","yarın","1","0","0","2026-04-06","","2026-04-06"
"Musik hören / zuhören","müzik dinlemek","1","0","0","2026-04-05","","2026-04-05"
"Mutter","anne","1","0","0","2026-04-06","","2026-04-06"
"März","Mart","1","0","0","2026-04-06","","2026-04-06"
"müde","yorgun","1","0","0","2026-04-06","","2026-04-06"
"Nacht","gece","1","0","0","2026-04-06","","2026-04-06"
"nehmen","almak","1","0","0","2026-04-06","","2026-04-06"
"nein","hayır","1","0","0","2026-04-06","","2026-04-06"
"neu","yeni","1","0","0","2026-04-06","","2026-04-06"
"nicht","değil","1","0","0","2026-04-06","","2026-04-06"
"nichts zu danken","bir şey değil","1","0","0","2026-04-06","","2026-04-06"
"nie / überhaupt nicht","hiç","1","0","0","2026-04-06","","2026-04-06"
"niemals","asla","1","0","0","2026-04-06","","2026-04-06"
"notwendig sein","gerekmek","1","0","2","2026-04-05","2026-04-05","2026-04-05"
"November","Kasım","1","0","0","2026-04-06","","2026-04-06"
"nur","sadece","1","0","0","2026-04-06","","2026-04-06"
"oder","veya","1","0","0","2026-04-06","","2026-04-06"
"oder sonst / andernfalls","yoksa","1","0","0","2026-04-06","","2026-04-06"
"oft","sık sık","1","0","0","2026-04-06","","2026-04-06"
"Oktober","Ekim","1","0","0","2026-04-06","","2026-04-06"
"Olive","zeytin","1","0","0","2026-04-06","","2026-04-06"
"Orange","portakal","1","0","0","2026-04-06","","2026-04-06"
"orange","turuncu","1","0","0","2026-04-06","","2026-04-06"
"Papier","kağıt","1","0","0","2026-04-06","","2026-04-06"
"Paprika","biber","1","0","0","2026-04-06","","2026-04-06"
"Pfanne","tava","1","0","0","2026-04-06","","2026-04-06"
"probieren (kosten)","tatmak","1","0","1","2026-04-05","","2026-04-05"
"Prüfung","sınav","1","0","0","2026-04-06","","2026-04-06"
"reich","zengin","1","0","0","2026-04-06","","2026-04-06"
"richtig","doğru","1","0","0","2026-04-06","","2026-04-06"
"rosa","pembe","1","0","0","2026-04-06","","2026-04-06"
"Rose","gül","1","0","0","2026-04-06","","2026-04-06"
"rot","kırmızı","1","0","0","2026-04-06","","2026-04-06"
"sagen","söylemek","1","0","0","2026-04-05","","2026-04-05"
"Salz","tuz","1","0","0","2026-04-06","","2026-04-06"
"Samstag","Cumartesi","1","0","0","2026-04-06","","2026-04-06"
"schlafen","uyumak","1","0","0","2026-04-06","","2026-04-06"
"schlecht","kötü","1","0","0","2026-04-06","","2026-04-06"
"schließen","kapatmak","1","0","0","2026-04-06","","2026-04-06"
"schneiden / hacken","doğramak","1","0","0","2026-04-06","","2026-04-06"
"schnell","hızlı","1","0","0","2026-04-06","","2026-04-06"
"schreiben","yazmak","1","0","0","2026-04-06","","2026-04-06"
"Schuh","ayakkabı","1","0","0","2026-04-06","","2026-04-06"
"Schule","okul","1","0","0","2026-04-06","","2026-04-06"
"schwarz","siyah","1","0","0","2026-04-06","","2026-04-06"
"schwarzer Pfeffer","karabiber","1","0","0","2026-04-06","","2026-04-06"
"schwer","zor","1","0","0","2026-04-06","","2026-04-06"
"Schwester","kız kardeş","1","0","0","2026-04-06","","2026-04-06"
"schön","güzel","1","0","0","2026-04-06","","2026-04-06"
"Schüler / Student","öğrenci","1","0","0","2026-04-06","","2026-04-06"
"sehen","görmek","1","0","0","2026-04-05","","2026-04-05"
"sehr","çok","1","0","0","2026-04-06","","2026-04-06"
"sein","olmak","1","0","0","2026-04-05","","2026-04-05"
"sein / werden","olmak","1","0","0","2026-04-06","","2026-04-06"
"September","Eylül","1","0","0","2026-04-06","","2026-04-06"
"sich treffen","buluşmak","2","1","0","2026-04-05","","2026-04-05"
"sie","onlar","1","0","0","2026-04-06","","2026-04-06"
"sitzen","oturmak","1","0","0","2026-04-06","","2026-04-06"
"so lala","şöyle böyle","1","0","0","2026-04-06","","2026-04-06"
"sofort","hemen","1","0","0","2026-04-06","","2026-04-06"
"Sonntag","Pazar","1","0","0","2026-04-06","","2026-04-06"
"spielen","oynamak","2","1","0","2026-04-05","","2026-04-05"
"Sprache","dil","1","0","0","2026-04-06","","2026-04-06"
"sprechen","konuşmak","1","0","0","2026-04-06","","2026-04-06"
"spät","geç","1","0","0","2026-04-06","","2026-04-06"
"später","sonra","1","0","0","2026-04-06","","2026-04-06"
"Stadt","şehir","1","0","0","2026-04-06","","2026-04-06"
"Stift","kalem","1","0","0","2026-04-06","","2026-04-06"
"Straße","sokak","1","0","0","2026-04-06","","2026-04-06"
"Stuhl","sandalye","1","0","0","2026-04-06","","2026-04-06"
